epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,845.819,0.98477,1.42766,1.08566,1.22421,0.7605,0.54545,0.632,0.42519,0.7731,0.57576,0.66753,0.45032,1.08981,1.64811,1.32011,1.23137,0.0015446,0.0015446,0.0015446
25,881.256,0.98421,1.32084,1.0705,1.21814,0.77375,0.54644,0.65476,0.47293,0.80283,0.57207,0.68575,0.47973,1.08099,1.50824,1.22517,1.20553,0.0015248,0.0015248,0.0015248
26,915.428,0.96416,1.31336,1.03311,1.20413,0.74707,0.49862,0.61619,0.43803,0.7201,0.54545,0.64322,0.46206,1.05642,1.49803,1.34149,1.19265,0.001505,0.001505,0.001505
27,949.06,0.95937,1.30378,1.05357,1.19868,0.71155,0.56749,0.63666,0.43955,0.74109,0.58402,0.65209,0.46876,1.08723,1.39957,1.3113,1.22313,0.0014852,0.0014852,0.0014852
28,984.077,0.94694,1.28563,1.02286,1.19559,0.79024,0.55096,0.65721,0.45792,0.81097,0.5791,0.68163,0.46738,1.09189,1.6162,1.20147,1.23298,0.0014654,0.0014654,0.0014654
29,1019.21,0.93634,1.34303,1.04518,1.18827,0.73709,0.55096,0.64401,0.44261,0.76315,0.57025,0.65321,0.45563,1.12076,1.58521,1.29673,1.25552,0.0014456,0.0014456,0.0014456
30,1053.64,0.95072,1.32373,1.04352,1.20155,0.68283,0.59307,0.66084,0.47225,0.73486,0.59555,0.68548,0.47784,1.05402,1.46687,1.16136,1.18592,0.0014258,0.0014258,0.0014258
31,1089.15,0.95664,1.27985,1.01391,1.18522,0.76543,0.56198,0.65102,0.46303,0.74258,0.60055,0.67367,0.48222,1.10798,1.48099,1.24355,1.22425,0.001406,0.001406,0.001406
32,1124.47,0.93297,1.26274,1.00087,1.20102,0.78487,0.53267,0.64377,0.44141,0.82288,0.55033,0.66968,0.46475,1.07999,1.53695,1.22884,1.20511,0.0013862,0.0013862,0.0013862
33,1159.59,0.92905,1.29717,0.99763,1.17811,0.71976,0.58402,0.65127,0.45422,0.81778,0.55372,0.67556,0.47767,1.0952,1.42053,1.29608,1.22484,0.0013664,0.0013664,0.0013664
34,1195.1,0.90772,1.28274,0.953,1.17045,0.71772,0.56749,0.64436,0.45668,0.74918,0.58678,0.67266,0.44853,1.12798,1.6104,1.31358,1.27418,0.0013466,0.0013466,0.0013466
35,1230.46,0.93959,1.34131,1.00678,1.19381,0.76302,0.53719,0.64296,0.45213,0.77476,0.54545,0.65282,0.46625,1.07542,1.45971,1.28499,1.2319,0.0013268,0.0013268,0.0013268
36,1265.66,0.92713,1.28826,0.96686,1.18863,0.68015,0.61433,0.65853,0.47149,0.73764,0.60413,0.68112,0.49028,1.05178,1.3792,1.33451,1.19043,0.001307,0.001307,0.001307
37,1301.35,0.90559,1.27334,0.975,1.17296,0.72521,0.55923,0.66502,0.49217,0.75625,0.58127,0.68329,0.50565,0.97003,1.34854,1.1422,1.14711,0.0012872,0.0012872,0.0012872
38,1337.36,0.86924,1.20391,0.93965,1.16492,0.79038,0.5713,0.66943,0.49096,0.81196,0.59504,0.69534,0.4994,1.01946,1.49674,1.13387,1.1703,0.0012674,0.0012674,0.0012674
39,1373.33,0.87209,1.23479,0.92481,1.14438,0.79637,0.56198,0.66489,0.48419,0.79637,0.56198,0.67996,0.49521,1.01189,1.40296,1.1996,1.17131,0.0012476,0.0012476,0.0012476
40,1408.14,0.9046,1.30518,0.97349,1.17153,0.7922,0.51515,0.61234,0.43633,0.82517,0.52011,0.62746,0.45584,1.06221,1.43289,1.43643,1.22995,0.0012278,0.0012278,0.0012278
41,1443.46,0.90269,1.28226,0.96355,1.17458,0.79308,0.54821,0.66936,0.4822,0.81489,0.56474,0.68322,0.49585,1.02517,1.47072,1.20065,1.16544,0.001208,0.001208,0.001208
42,1478.66,0.86364,1.17371,0.93065,1.16312,0.74356,0.59109,0.64732,0.47649,0.74925,0.60913,0.67266,0.48834,1.00342,1.35944,1.21557,1.18007,0.0011882,0.0011882,0.0011882
43,1512.77,0.88156,1.23229,0.94411,1.14473,0.75828,0.52893,0.63907,0.47569,0.78237,0.5447,0.65791,0.48682,0.97809,1.40377,1.26544,1.12745,0.0011684,0.0011684,0.0011684
44,1548.6,0.85656,1.22396,0.92504,1.16006,0.7379,0.58953,0.65202,0.47578,0.77282,0.61983,0.6986,0.50399,1.00828,1.34328,1.15767,1.14274,0.0011486,0.0011486,0.0011486
45,1584.5,0.90779,1.2031,0.92219,1.16481,0.68749,0.61708,0.67198,0.48352,0.71909,0.64463,0.70282,0.50453,1.01506,1.43276,1.14114,1.17654,0.0011288,0.0011288,0.0011288
46,1620.13,0.87754,1.18043,0.93644,1.15831,0.83776,0.55096,0.6904,0.50425,0.84948,0.56198,0.69824,0.50464,0.98086,1.39694,1.08169,1.12218,0.001109,0.001109,0.001109
47,1655.04,0.85754,1.16911,0.88659,1.15139,0.80262,0.57025,0.68565,0.50762,0.82858,0.58678,0.70086,0.51138,0.95683,1.37689,1.09964,1.10019,0.0010892,0.0010892,0.0010892
48,1690.73,0.81077,1.13731,0.86894,1.11081,0.77445,0.57576,0.68751,0.49494,0.75467,0.61983,0.70299,0.51466,0.97029,1.36738,1.12291,1.12559,0.0010694,0.0010694,0.0010694
49,1726.03,0.87179,1.1793,0.92242,1.15659,0.77409,0.60055,0.68181,0.50241,0.79304,0.62281,0.70331,0.50667,1.00888,1.34659,1.12791,1.17411,0.0010496,0.0010496,0.0010496
50,1761.58,0.85936,1.15893,0.91219,1.15095,0.7497,0.59229,0.68172,0.50626,0.77785,0.61735,0.70731,0.50768,1.00277,1.39253,1.11255,1.15078,0.0010298,0.0010298,0.0010298
51,1796.64,0.82628,1.1246,0.91534,1.12616,0.74988,0.58402,0.68238,0.52138,0.77374,0.59504,0.69025,0.52037,0.96536,1.28091,1.12336,1.13995,0.00101,0.00101,0.00101
52,1832.16,0.81227,1.1101,0.85881,1.13062,0.85889,0.55372,0.70247,0.5254,0.74994,0.65014,0.72702,0.53726,0.97525,1.35198,1.02503,1.14996,0.0009902,0.0009902,0.0009902
53,1866.67,0.80078,1.16902,0.86261,1.10119,0.7183,0.62534,0.70045,0.53111,0.73534,0.64295,0.70814,0.53518,0.92598,1.29815,1.09117,1.08692,0.0009704,0.0009704,0.0009704
54,1900.2,0.81832,1.11428,0.84984,1.11635,0.75191,0.63636,0.69482,0.51753,0.7637,0.65014,0.70911,0.52712,0.97577,1.34968,1.08238,1.12313,0.0009506,0.0009506,0.0009506
55,1931.71,0.81987,1.15332,0.84004,1.1209,0.7577,0.61708,0.69129,0.52783,0.79067,0.62433,0.71194,0.52683,0.94911,1.33676,1.09897,1.10589,0.0009308,0.0009308,0.0009308
56,1963.54,0.82718,1.13572,0.87555,1.11942,0.73155,0.60331,0.68325,0.51207,0.7497,0.62259,0.69417,0.51138,0.96064,1.39131,1.10718,1.1192,0.000911,0.000911,0.000911
57,1996.39,0.82121,1.09508,0.86307,1.12513,0.84061,0.56661,0.70067,0.535,0.88477,0.58402,0.72639,0.52703,0.93383,1.2942,1.07297,1.10195,0.0008912,0.0008912,0.0008912
58,2030.32,0.80918,1.06925,0.8626,1.12374,0.75639,0.61433,0.69066,0.52444,0.77828,0.63085,0.70552,0.52551,0.9268,1.22378,1.10226,1.08354,0.0008714,0.0008714,0.0008714
59,2065.5,0.80435,1.09402,0.84605,1.10942,0.74003,0.61433,0.69904,0.52147,0.7998,0.60531,0.7102,0.51796,0.95033,1.33464,1.13043,1.10855,0.0008516,0.0008516,0.0008516
60,2100.99,0.78093,1.05787,0.79689,1.10274,0.84983,0.573,0.6997,0.52546,0.83439,0.61708,0.71685,0.54043,0.95268,1.28856,1.07766,1.10503,0.0008318,0.0008318,0.0008318
61,2135.71,0.783,1.05722,0.79607,1.10505,0.83828,0.59504,0.70624,0.52987,0.83949,0.63912,0.73107,0.55005,0.98117,1.2344,1.07652,1.09518,0.000812,0.000812,0.000812
62,2170.48,0.79835,1.06127,0.80977,1.09688,0.77473,0.61983,0.70799,0.52469,0.80144,0.64187,0.73077,0.54083,0.95705,1.27415,1.00521,1.13196,0.0007922,0.0007922,0.0007922
63,2205.6,0.80394,1.06359,0.83766,1.1131,0.80548,0.5978,0.69228,0.52168,0.78333,0.64187,0.71219,0.5293,0.9266,1.30354,1.04521,1.08059,0.0007724,0.0007724,0.0007724
64,2241.44,0.77422,1.0988,0.81635,1.07783,0.75181,0.63422,0.69822,0.53686,0.76889,0.65073,0.70248,0.53012,0.91129,1.32689,1.13745,1.077,0.0007526,0.0007526,0.0007526
65,2277.12,0.75487,1.01803,0.79237,1.09662,0.78164,0.60882,0.7108,0.54646,0.80639,0.6281,0.72159,0.53942,0.88419,1.3345,1.05495,1.04893,0.0007328,0.0007328,0.0007328
66,2312.52,0.77738,1.06071,0.81646,1.10309,0.80728,0.57851,0.70409,0.53642,0.83395,0.59492,0.72324,0.52855,0.92632,1.38289,1.01714,1.08381,0.000713,0.000713,0.000713
67,2347.8,0.79075,1.09939,0.82007,1.11151,0.75385,0.62433,0.70182,0.53185,0.78375,0.64738,0.73174,0.53697,0.93742,1.30052,1.03806,1.09696,0.0006932,0.0006932,0.0006932
68,2381.79,0.77446,1.07444,0.81161,1.08832,0.76527,0.60173,0.7093,0.53448,0.75218,0.67218,0.74394,0.5526,0.9305,1.27233,1.02537,1.07175,0.0006734,0.0006734,0.0006734
69,2416.27,0.75285,1.0376,0.7671,1.07893,0.7896,0.62259,0.70562,0.53621,0.81444,0.64084,0.73152,0.54564,0.91541,1.24544,1.05672,1.09263,0.0006536,0.0006536,0.0006536
70,2449.76,0.74332,0.98788,0.76526,1.08897,0.71185,0.67218,0.72088,0.54921,0.77222,0.67242,0.73449,0.54814,0.93694,1.29906,1.0448,1.09562,0.0006338,0.0006338,0.0006338
71,2484.86,0.76407,1.05994,0.77554,1.08313,0.77994,0.6444,0.715,0.54411,0.80143,0.66391,0.72281,0.53977,0.8915,1.30506,0.99811,1.05552,0.000614,0.000614,0.000614
72,2519.66,0.75232,1.02717,0.76877,1.07383,0.83215,0.57363,0.70122,0.53574,0.769,0.65115,0.71594,0.52761,0.91894,1.34626,1.05867,1.07816,0.0005942,0.0005942,0.0005942
73,2555.73,0.73616,0.98022,0.75539,1.08749,0.77055,0.61983,0.70751,0.53114,0.79859,0.64187,0.72213,0.5421,0.91977,1.28881,1.03252,1.08825,0.0005744,0.0005744,0.0005744
74,2590.73,0.73018,1.01817,0.76198,1.07821,0.77951,0.62534,0.70372,0.53707,0.80639,0.64463,0.71806,0.54765,0.89396,1.35379,1.03824,1.07833,0.0005546,0.0005546,0.0005546
75,2625.98,0.72219,1.01809,0.72406,1.06049,0.7521,0.64463,0.7102,0.55185,0.78772,0.6747,0.7329,0.55091,0.89595,1.33453,0.99293,1.06336,0.0005348,0.0005348,0.0005348
76,2660.46,0.72888,1.04214,0.72841,1.07491,0.86066,0.57576,0.70961,0.53893,0.883,0.60055,0.72776,0.54319,0.90579,1.2978,1.04945,1.07939,0.000515,0.000515,0.000515
77,2695.63,0.71458,0.97122,0.73076,1.05269,0.78037,0.61433,0.70442,0.55866,0.80813,0.63817,0.72258,0.55861,0.86833,1.25533,1.00608,1.04635,0.0004952,0.0004952,0.0004952
78,2730.05,0.711,0.93113,0.73801,1.051,0.78675,0.64187,0.70493,0.54885,0.80542,0.6584,0.72845,0.5555,0.88912,1.22026,1.02691,1.05422,0.0004754,0.0004754,0.0004754
79,2765.59,0.71944,0.98602,0.71968,1.0571,0.7985,0.62259,0.70642,0.54752,0.82584,0.64009,0.72686,0.54549,0.89251,1.27833,1.00978,1.06341,0.0004556,0.0004556,0.0004556
80,2800.18,0.72912,0.97369,0.73611,1.07259,0.8279,0.58953,0.7099,0.55416,0.84556,0.61708,0.72821,0.55417,0.89843,1.29826,1.00457,1.06909,0.0004358,0.0004358,0.0004358
81,2835.95,0.67111,0.95846,0.68724,1.03767,0.79353,0.65643,0.73552,0.5768,0.81926,0.6743,0.75076,0.56692,0.8495,1.22876,0.95445,1.01763,0.000416,0.000416,0.000416
82,2870.4,0.68773,0.94428,0.68394,1.0519,0.82582,0.62534,0.72401,0.56718,0.84746,0.6428,0.73662,0.55781,0.85171,1.24985,0.96487,1.03159,0.0003962,0.0003962,0.0003962
83,2905.42,0.70413,0.94386,0.71142,1.05952,0.80747,0.63361,0.7184,0.56052,0.84659,0.6584,0.75474,0.55887,0.8559,1.2619,0.95201,1.04349,0.0003764,0.0003764,0.0003764
84,2940.04,0.72039,0.95737,0.73705,1.05932,0.87065,0.60882,0.72948,0.57342,0.89083,0.62944,0.75156,0.55815,0.8454,1.26967,0.93509,1.04136,0.0003566,0.0003566,0.0003566
85,2975.61,0.68233,0.95655,0.70286,1.04765,0.77419,0.64224,0.72294,0.57801,0.78741,0.65301,0.7338,0.55914,0.82308,1.28496,0.96088,1.02174,0.0003368,0.0003368,0.0003368
86,3011.31,0.69852,0.95901,0.69202,1.05144,0.79644,0.64187,0.72583,0.57323,0.82278,0.66116,0.7447,0.56686,0.82019,1.24565,0.95709,1.01962,0.000317,0.000317,0.000317
87,3046.61,0.66728,0.92281,0.68368,1.04486,0.79541,0.66667,0.73023,0.57345,0.82456,0.6862,0.74973,0.56918,0.80785,1.25142,0.92662,1.01461,0.0002972,0.0002972,0.0002972
88,3081.2,0.69617,0.9508,0.69089,1.04374,0.83916,0.5978,0.72056,0.57229,0.79663,0.67218,0.74496,0.56873,0.81261,1.24182,0.94778,1.01753,0.0002774,0.0002774,0.0002774
89,3115.84,0.66521,0.90651,0.68615,1.04334,0.7789,0.62259,0.70801,0.55761,0.81681,0.65289,0.73094,0.5519,0.82605,1.28802,0.96524,1.02485,0.0002576,0.0002576,0.0002576
90,3149.75,0.67354,0.89561,0.68814,1.0434,0.80935,0.63152,0.72256,0.56861,0.83396,0.65031,0.73908,0.56667,0.83472,1.24912,0.93765,1.02498,0.0002378,0.0002378,0.0002378
91,3240.56,0.67259,0.93457,0.72622,1.07465,0.84099,0.58279,0.70502,0.53574,0.8468,0.60882,0.7201,0.5449,0.88886,1.30278,1.06282,1.0486,0.000218,0.000218,0.000218
92,3275.57,0.62586,0.89566,0.65596,1.03271,0.82009,0.60274,0.71125,0.55399,0.83162,0.62585,0.72653,0.55416,0.85952,1.2848,1.00798,1.04122,0.0001982,0.0001982,0.0001982
93,3311.36,0.63795,0.90423,0.63597,1.05318,0.7777,0.64187,0.72715,0.5674,0.79995,0.67197,0.75186,0.56985,0.83589,1.239,0.92902,1.02101,0.0001784,0.0001784,0.0001784
94,3345.9,0.60456,0.90436,0.60863,1.02306,0.81657,0.62546,0.72801,0.56983,0.84393,0.65014,0.74441,0.5744,0.83977,1.23418,0.92593,1.01928,0.0001586,0.0001586,0.0001586
95,3381.35,0.61168,0.85617,0.59188,1.03092,0.82576,0.61708,0.72766,0.5812,0.85186,0.63636,0.73858,0.57142,0.81978,1.21857,0.93997,1.01154,0.0001388,0.0001388,0.0001388
96,3416.37,0.58529,0.87094,0.57453,1.01601,0.81111,0.62698,0.73011,0.57922,0.83809,0.65289,0.74734,0.57541,0.80537,1.19608,0.92323,0.9995,0.000119,0.000119,0.000119
97,3451.37,0.59936,0.88437,0.58259,1.02697,0.81905,0.61708,0.72556,0.57265,0.84504,0.63636,0.74576,0.57049,0.79933,1.21867,0.9245,1.00286,9.92e-05,9.92e-05,9.92e-05
98,3484.86,0.60436,0.87037,0.56555,1.0389,0.81842,0.61157,0.72407,0.57269,0.86327,0.63361,0.74323,0.57075,0.79477,1.24151,0.92382,0.99567,7.94e-05,7.94e-05,7.94e-05
99,3520.24,0.58603,0.85912,0.57519,1.03515,0.77776,0.63631,0.72024,0.57204,0.80786,0.66024,0.74286,0.57274,0.79784,1.2379,0.92971,0.99889,5.96e-05,5.96e-05,5.96e-05
100,3555.98,0.57646,0.83041,0.56123,1.00288,0.79349,0.6281,0.72558,0.57546,0.82367,0.65014,0.74428,0.57354,0.79613,1.22265,0.91476,0.99991,3.98e-05,3.98e-05,3.98e-05
