epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,375.461,1.29954,2.34948,1.37051,0.86146,0.14124,0.17432,0.11647,1.56214,6.6748,1.58686,0.00132997,0.00132997,0.00132997
16,381.246,1.27043,2.23739,1.34188,0.16319,0.27024,0.17938,0.1278,1.51775,5.17833,1.60385,0.0013229,0.0013229,0.0013229
17,387.072,1.23507,2.20824,1.36517,0.47601,0.19209,0.17313,0.10928,1.6067,4.12657,1.63241,0.00131582,0.00131582,0.00131582
18,392.841,1.25238,2.06369,1.33602,0.8519,0.17668,0.20001,0.14347,1.43704,6.57063,1.48681,0.00130875,0.00130875,0.00130875
19,398.733,1.27091,2.05977,1.35225,0.85621,0.18644,0.20984,0.15474,1.4137,4.93473,1.43394,0.00130168,0.00130168,0.00130168
20,404.561,1.20124,2.01344,1.31142,0.87743,0.16384,0.22912,0.16169,1.54765,3.73558,1.54368,0.0012946,0.0012946,0.0012946
21,410.395,1.14501,1.75591,1.25226,0.19136,0.16384,0.18261,0.12966,1.48101,2.73437,1.44378,0.00128753,0.00128753,0.00128753
22,416.258,1.19303,1.81991,1.27185,0.80758,0.17378,0.18304,0.11952,1.41677,3.30813,1.41299,0.00128046,0.00128046,0.00128046
23,422.042,1.19661,1.87771,1.28795,0.83075,0.15254,0.22829,0.15697,1.40752,4.23618,1.40769,0.00127338,0.00127338,0.00127338
24,427.915,1.18914,1.93903,1.31489,0.57061,0.2095,0.20962,0.14071,1.47113,7.07347,1.42994,0.00126631,0.00126631,0.00126631
25,433.78,1.16205,1.80571,1.28495,0.82998,0.19774,0.20015,0.14141,1.31187,4.39851,1.32476,0.00125923,0.00125923,0.00125923
26,439.548,1.22344,1.88579,1.31372,0.20666,0.38472,0.24292,0.16535,1.4237,2.71655,1.41551,0.00125216,0.00125216,0.00125216
27,445.335,1.17784,1.78608,1.28928,0.84016,0.17514,0.20871,0.149,1.54614,4.30339,1.53046,0.00124509,0.00124509,0.00124509
28,451.155,1.20293,1.81939,1.27955,0.83957,0.22034,0.21893,0.15698,1.45308,3.26175,1.44082,0.00123801,0.00123801,0.00123801
29,457.042,1.10883,1.75664,1.2121,0.85867,0.23029,0.26679,0.19516,1.40068,2.83748,1.34101,0.00123094,0.00123094,0.00123094
30,462.95,1.13659,1.7127,1.24124,0.87092,0.20339,0.25094,0.18054,1.37838,3.11786,1.44091,0.00122387,0.00122387,0.00122387
31,468.971,1.08363,1.60313,1.23803,0.18669,0.33925,0.25388,0.17103,1.30904,3.01479,1.38205,0.00121679,0.00121679,0.00121679
32,474.814,1.13041,1.67253,1.25341,0.25196,0.38351,0.23642,0.15523,1.47452,3.35379,1.43657,0.00120972,0.00120972,0.00120972
33,480.819,1.15874,1.72552,1.22285,0.71458,0.19451,0.26668,0.16878,1.55265,2.5603,1.48306,0.00120265,0.00120265,0.00120265
34,486.615,1.1633,1.65126,1.26017,0.84172,0.24186,0.26926,0.18977,1.31223,3.81449,1.34081,0.00119557,0.00119557,0.00119557
35,492.439,1.08016,1.62255,1.22292,0.89277,0.18079,0.22348,0.14939,1.45659,3.71144,1.47345,0.0011885,0.0011885,0.0011885
36,498.341,1.16702,1.90388,1.2806,0.8513,0.19209,0.20418,0.16062,1.33109,4.35664,1.39578,0.00118143,0.00118143,0.00118143
37,504.189,1.03439,1.63521,1.20857,0.22963,0.51493,0.30838,0.21161,1.24809,2.74672,1.2989,0.00117435,0.00117435,0.00117435
38,510.107,1.04206,1.51593,1.20523,0.18713,0.30199,0.24847,0.169,1.43097,2.72579,1.41871,0.00116728,0.00116728,0.00116728
39,516.03,1.11204,1.66678,1.22882,0.30546,0.23312,0.16249,0.08777,1.87986,3.73809,1.86636,0.00116021,0.00116021,0.00116021
40,521.958,1.07662,1.58944,1.24103,0.89799,0.17938,0.2343,0.17314,1.4111,3.56221,1.34374,0.00115313,0.00115313,0.00115313
41,528.097,1.08134,1.55026,1.21143,0.53414,0.18836,0.2266,0.16852,1.43697,3.25926,1.38109,0.00114606,0.00114606,0.00114606
42,534.292,1.03271,1.56589,1.19925,0.53476,0.19209,0.21113,0.15246,1.46833,3.68875,1.39527,0.00113898,0.00113898,0.00113898
43,540.552,1.05773,1.52763,1.19708,0.22829,0.15965,0.22482,0.16754,1.33843,2.96449,1.34866,0.00113191,0.00113191,0.00113191
44,546.627,0.98307,1.40366,1.14727,0.22729,0.22491,0.23101,0.16635,1.38416,3.44327,1.43506,0.00112484,0.00112484,0.00112484
45,552.779,1.00814,1.526,1.19337,0.40831,0.25679,0.23075,0.16467,1.4307,3.26716,1.49876,0.00111776,0.00111776,0.00111776
46,558.795,1.04297,1.50117,1.18352,0.18363,0.45615,0.24267,0.16852,1.42012,3.12971,1.43948,0.00111069,0.00111069,0.00111069
47,564.944,1.00715,1.44596,1.19155,0.27042,0.24252,0.23024,0.17463,1.45502,3.02677,1.41704,0.00110362,0.00110362,0.00110362
48,571.06,1.0466,1.43789,1.16096,0.23812,0.18994,0.18072,0.13841,1.5515,3.29791,1.54118,0.00109654,0.00109654,0.00109654
49,577.23,1.08664,1.39131,1.22762,0.2312,0.46072,0.22002,0.17039,1.30946,3.66452,1.35327,0.00108947,0.00108947,0.00108947
50,583.362,1.04257,1.55218,1.19944,0.21991,0.37342,0.25576,0.18322,1.43074,3.13543,1.44116,0.0010824,0.0010824,0.0010824
51,589.443,0.98901,1.38333,1.15634,0.90761,0.16949,0.23263,0.17845,1.32917,3.12057,1.348,0.00107532,0.00107532,0.00107532
52,595.6,0.97065,1.3283,1.15433,0.18592,0.26903,0.23719,0.17628,1.4871,3.1284,1.44623,0.00106825,0.00106825,0.00106825
53,602.029,1.09126,1.48742,1.21221,0.34682,0.1389,0.16372,0.10965,1.57224,3.38096,1.46804,0.00106118,0.00106118,0.00106118
54,608.158,0.97099,1.35463,1.14845,0.18665,0.3484,0.24894,0.18639,1.5655,3.19373,1.49809,0.0010541,0.0010541,0.0010541
55,614.154,0.98545,1.32235,1.17463,0.17917,0.21361,0.20901,0.1664,1.36682,3.09099,1.4459,0.00104703,0.00104703,0.00104703
56,620.293,0.96196,1.38199,1.15374,0.22096,0.37799,0.25632,0.17547,1.37443,3.30586,1.42423,0.00103995,0.00103995,0.00103995
57,626.379,0.99214,1.28645,1.18339,0.21772,0.26123,0.21439,0.15189,1.34156,3.22977,1.36328,0.00103288,0.00103288,0.00103288
58,632.533,0.99791,1.34243,1.17585,0.27853,0.28639,0.21554,0.14923,1.46383,3.26504,1.39653,0.00102581,0.00102581,0.00102581
59,638.648,0.9865,1.32122,1.19631,0.15846,0.42319,0.23264,0.16832,1.44096,3.64914,1.45998,0.00101873,0.00101873,0.00101873
60,644.667,0.96012,1.29595,1.16537,0.51967,0.29284,0.24538,0.1799,1.39665,3.16929,1.37651,0.00101166,0.00101166,0.00101166
61,650.714,1.02972,1.35701,1.17041,0.3049,0.31464,0.27169,0.18069,1.41119,2.86024,1.37503,0.00100459,0.00100459,0.00100459
62,656.658,0.90231,1.21745,1.10539,0.23744,0.27253,0.25795,0.1872,1.31995,2.92096,1.32298,0.000997513,0.000997513,0.000997513
63,662.672,0.95295,1.14912,1.13814,0.25649,0.31902,0.26949,0.19026,1.30183,2.71967,1.30542,0.00099044,0.00099044,0.00099044
64,668.645,0.9572,1.2703,1.14598,0.25483,0.29513,0.24417,0.18116,1.34181,2.8572,1.30204,0.000983366,0.000983366,0.000983366
65,674.808,0.85626,1.10269,1.09126,0.41109,0.24202,0.25082,0.17896,1.34376,3.2353,1.31244,0.000976293,0.000976293,0.000976293
66,681.031,0.92067,1.12274,1.10504,0.25332,0.31221,0.25275,0.18147,1.29532,3.15443,1.31573,0.000969219,0.000969219,0.000969219
67,687.208,0.8773,1.07757,1.07214,0.31146,0.26016,0.25399,0.19378,1.27853,3.40804,1.31499,0.000962146,0.000962146,0.000962146
68,693.159,0.84821,1.12611,1.12455,0.26321,0.31213,0.27713,0.18252,1.32779,3.04922,1.30078,0.000955072,0.000955072,0.000955072
69,699.309,0.86815,1.14952,1.13634,0.37574,0.37653,0.31131,0.21127,1.32991,3.3756,1.31675,0.000947999,0.000947999,0.000947999
70,705.407,0.86613,1.1661,1.10509,0.3351,0.34478,0.27496,0.20337,1.43286,3.06316,1.49345,0.000940925,0.000940925,0.000940925
71,711.407,0.87553,1.09172,1.08813,0.21559,0.41874,0.25127,0.18702,1.34803,3.2388,1.38485,0.000933851,0.000933851,0.000933851
72,717.454,0.93644,1.16359,1.14709,0.38354,0.34726,0.26508,0.1972,1.48652,3.01878,1.49497,0.000926778,0.000926778,0.000926778
73,723.595,0.90612,1.15094,1.11808,0.19973,0.38136,0.274,0.20797,1.436,3.24744,1.43344,0.000919704,0.000919704,0.000919704
74,729.722,0.83653,1.03667,1.0791,0.25082,0.41646,0.26135,0.19188,1.34525,3.44619,1.29456,0.000912631,0.000912631,0.000912631
75,735.716,0.86303,1.07941,1.11848,0.23108,0.32136,0.2365,0.17225,1.38648,3.50724,1.3461,0.000905557,0.000905557,0.000905557
76,741.893,0.83771,1.02659,1.08822,0.32933,0.33939,0.28946,0.18112,1.3545,3.26815,1.27268,0.000898484,0.000898484,0.000898484
77,747.974,0.9123,1.13447,1.15061,0.23085,0.27067,0.22844,0.1653,1.38869,3.40858,1.33552,0.00089141,0.00089141,0.00089141
78,753.941,0.87448,1.04894,1.1274,0.32702,0.20796,0.21062,0.15724,1.39599,3.62577,1.4276,0.000884337,0.000884337,0.000884337
79,759.971,0.87735,1.12922,1.10182,0.20327,0.34611,0.25944,0.18575,1.48539,3.33906,1.44847,0.000877263,0.000877263,0.000877263
80,765.943,0.8589,1.04229,1.08402,0.16119,0.24644,0.21521,0.16486,1.49314,3.51753,1.42194,0.00087019,0.00087019,0.00087019
81,771.918,0.89409,1.08722,1.11692,0.27928,0.32368,0.26627,0.19306,1.39852,3.21486,1.37729,0.000863116,0.000863116,0.000863116
82,777.963,0.95085,1.13194,1.14065,0.34907,0.37058,0.32194,0.2169,1.31892,3.43138,1.29459,0.000856042,0.000856042,0.000856042
83,784.017,0.83681,1.0689,1.07728,0.35676,0.38137,0.27749,0.1909,1.50256,3.21529,1.42335,0.000848969,0.000848969,0.000848969
84,790.141,0.87678,1.09702,1.10716,0.35302,0.40517,0.28329,0.2113,1.39388,3.57351,1.40039,0.000841895,0.000841895,0.000841895
85,796.199,0.85392,1.03822,1.08641,0.36259,0.32136,0.28834,0.21638,1.35185,3.37247,1.3022,0.000834822,0.000834822,0.000834822
86,802.249,0.88127,1.04633,1.1021,0.42082,0.48684,0.32895,0.23326,1.32639,3.36937,1.35281,0.000827748,0.000827748,0.000827748
87,808.191,0.7975,0.91536,1.04759,0.5441,0.34005,0.24557,0.19285,1.42153,3.93913,1.45275,0.000820675,0.000820675,0.000820675
88,814.172,0.82909,0.95747,1.06096,0.33506,0.27146,0.27315,0.19149,1.44825,3.22426,1.42312,0.000813601,0.000813601,0.000813601
89,820.233,0.82179,1.01281,1.0975,0.30866,0.25773,0.2711,0.18005,1.40658,3.72016,1.3662,0.000806528,0.000806528,0.000806528
90,826.245,0.80714,1.01255,1.08768,0.2531,0.34961,0.27371,0.18268,1.51941,3.59211,1.37184,0.000799454,0.000799454,0.000799454
91,832.246,0.75574,0.93274,1.02875,0.25913,0.30993,0.27555,0.19067,1.46711,3.07302,1.41129,0.00079238,0.00079238,0.00079238
92,838.178,0.80186,0.93863,1.05447,0.22198,0.45965,0.26717,0.1937,1.42357,3.1179,1.42662,0.000785307,0.000785307,0.000785307
93,844.03,0.80664,0.92159,1.07761,0.32066,0.2884,0.29429,0.22075,1.39072,3.02115,1.42733,0.000778233,0.000778233,0.000778233
94,849.962,0.75764,0.94887,1.06884,0.21799,0.40046,0.28928,0.20609,1.3897,3.6539,1.41132,0.00077116,0.00077116,0.00077116
95,855.83,0.81727,0.94164,1.10209,0.27422,0.25209,0.23928,0.18154,1.38941,3.32399,1.40021,0.000764086,0.000764086,0.000764086
96,861.79,0.82274,0.97472,1.09197,0.31629,0.311,0.23724,0.17592,1.38655,3.25482,1.47359,0.000757013,0.000757013,0.000757013
97,867.758,0.79738,0.96721,1.08615,0.37546,0.31356,0.25331,0.17826,1.46166,3.38824,1.47787,0.000749939,0.000749939,0.000749939
98,873.7,0.79169,0.88581,1.06232,0.47638,0.31921,0.32471,0.21975,1.44478,3.0432,1.40522,0.000742866,0.000742866,0.000742866
99,880.012,0.79615,0.82773,1.05612,0.32836,0.30334,0.24645,0.16482,1.42599,3.07477,1.47964,0.000735792,0.000735792,0.000735792
100,886.201,0.79157,0.88053,1.04666,0.39546,0.28079,0.26947,0.1742,1.41552,3.58599,1.4805,0.000728719,0.000728719,0.000728719
101,892.417,0.75183,0.9085,1.06744,0.2963,0.20168,0.20322,0.14633,1.37129,3.52734,1.37038,0.000721645,0.000721645,0.000721645
102,898.508,0.85101,0.97997,1.10036,0.4848,0.38268,0.31853,0.21617,1.40952,3.24752,1.39723,0.000714571,0.000714571,0.000714571
103,904.746,0.82318,0.92012,1.07876,0.31433,0.25241,0.26709,0.19677,1.40939,2.90579,1.41687,0.000707498,0.000707498,0.000707498
104,910.956,0.77572,0.83354,1.06304,0.24544,0.32136,0.2326,0.17395,1.4466,3.05598,1.48919,0.000700424,0.000700424,0.000700424
105,917.305,0.76608,0.88897,1.05076,0.30802,0.24392,0.23971,0.17997,1.41111,2.99681,1.37681,0.000693351,0.000693351,0.000693351
106,923.459,0.76764,0.88325,1.04952,0.23478,0.28033,0.25991,0.19236,1.28997,3.2457,1.31754,0.000686277,0.000686277,0.000686277
107,929.688,0.76405,0.92418,1.05717,0.24475,0.36381,0.28658,0.21031,1.27801,3.18054,1.35195,0.000679204,0.000679204,0.000679204
108,936.019,0.7831,0.89596,1.06912,0.27105,0.346,0.27368,0.20304,1.33255,3.04801,1.37532,0.00067213,0.00067213,0.00067213
109,942.334,0.70929,0.76865,1.02569,0.29818,0.33481,0.27369,0.20267,1.37274,3.12583,1.42931,0.000665057,0.000665057,0.000665057
110,948.504,0.74403,0.82594,1.05243,0.40623,0.39834,0.33413,0.221,1.39916,3.42268,1.46102,0.000657983,0.000657983,0.000657983
111,954.697,0.73447,0.80248,1.06123,0.34683,0.24563,0.25496,0.17146,1.4446,3.37147,1.45459,0.000650909,0.000650909,0.000650909
112,960.811,0.71213,0.80223,1.03331,0.37146,0.2693,0.26219,0.19176,1.41294,3.42834,1.41415,0.000643836,0.000643836,0.000643836
113,966.986,0.71323,0.75441,1.00357,0.27406,0.24886,0.20756,0.15554,1.35259,3.67872,1.36051,0.000636762,0.000636762,0.000636762
114,973.245,0.7891,0.89119,1.10627,0.32529,0.34961,0.26816,0.18174,1.28188,3.45974,1.35085,0.000629689,0.000629689,0.000629689
115,979.31,0.76682,0.84399,1.05514,0.38388,0.30091,0.3103,0.209,1.36687,3.00945,1.40647,0.000622615,0.000622615,0.000622615
116,985.309,0.75222,0.84194,1.05462,0.48314,0.36011,0.28546,0.19203,1.38414,3.40781,1.44409,0.000615542,0.000615542,0.000615542
117,991.363,0.7933,0.89074,1.05337,0.53514,0.20339,0.22054,0.17721,1.33169,3.63429,1.38595,0.000608468,0.000608468,0.000608468
118,997.529,0.72201,0.73515,1.01834,0.3118,0.31679,0.24644,0.19214,1.40533,3.55003,1.41045,0.000601395,0.000601395,0.000601395
119,1003.79,0.69561,0.75917,1.03739,0.28467,0.28,0.27556,0.2088,1.45523,3.20418,1.45552,0.000594321,0.000594321,0.000594321
120,1009.89,0.77374,0.78359,1.05388,0.23145,0.30643,0.26654,0.19906,1.41167,3.58055,1.37711,0.000587248,0.000587248,0.000587248
121,1015.97,0.71415,0.81916,1.0424,0.57409,0.17634,0.24458,0.18827,1.3762,3.41808,1.38464,0.000580174,0.000580174,0.000580174
122,1022,0.73274,0.77097,1.02339,0.23436,0.20951,0.23308,0.18535,1.38771,3.29741,1.3859,0.0005731,0.0005731,0.0005731
123,1028,0.71608,0.91257,1.02436,0.53114,0.18079,0.2206,0.17849,1.35863,3.80556,1.39387,0.000566027,0.000566027,0.000566027
124,1033.97,0.68364,0.80377,1.0141,0.38835,0.35876,0.31405,0.22842,1.48397,3.67176,1.48357,0.000558953,0.000558953,0.000558953
125,1040.04,0.69701,0.76416,1.01407,0.40908,0.27603,0.30356,0.20129,1.36648,3.46269,1.43764,0.00055188,0.00055188,0.00055188
126,1046.02,0.68809,0.78678,1.02377,0.29293,0.37113,0.29723,0.21739,1.36361,3.66729,1.39764,0.000544806,0.000544806,0.000544806
127,1052.14,0.68191,0.7441,1.034,0.35165,0.33616,0.28905,0.21498,1.30087,3.1103,1.30735,0.000537733,0.000537733,0.000537733
128,1058.62,0.71399,0.79788,1.05357,0.36112,0.28625,0.27798,0.20979,1.3924,3.09787,1.42121,0.000530659,0.000530659,0.000530659
129,1064.79,0.67957,0.72817,0.99452,0.37359,0.29863,0.31184,0.21765,1.41263,3.43973,1.42693,0.000523586,0.000523586,0.000523586
130,1070.9,0.74463,0.76796,1.04382,0.35195,0.28625,0.29449,0.2117,1.44361,3.56082,1.46535,0.000516512,0.000516512,0.000516512
131,1076.91,0.68598,0.73938,1.01231,0.28866,0.32136,0.26033,0.18666,1.45754,3.37334,1.4496,0.000509438,0.000509438,0.000509438
132,1082.92,0.69719,0.7207,1.01332,0.37911,0.39266,0.3206,0.22023,1.36467,3.31958,1.41018,0.000502365,0.000502365,0.000502365
133,1088.88,0.66489,0.66945,1.00003,0.41852,0.36441,0.30432,0.19809,1.419,3.38477,1.41825,0.000495291,0.000495291,0.000495291
134,1094.72,0.69254,0.75631,1.01251,0.39522,0.29648,0.28645,0.18672,1.40429,3.24172,1.39916,0.000488218,0.000488218,0.000488218
135,1100.69,0.64966,0.69375,0.9961,0.3701,0.28383,0.28906,0.21634,1.40454,3.89339,1.44914,0.000481144,0.000481144,0.000481144
136,1106.64,0.67636,0.69431,1.00526,0.44397,0.36333,0.30666,0.19784,1.40052,3.44775,1.40221,0.000474071,0.000474071,0.000474071
137,1112.68,0.69883,0.71867,0.99772,0.40227,0.31253,0.32976,0.22141,1.3746,3.42761,1.45569,0.000466997,0.000466997,0.000466997
138,1118.76,0.6141,0.64442,0.97513,0.2764,0.30091,0.24801,0.19602,1.41905,3.3956,1.45481,0.000459924,0.000459924,0.000459924
139,1124.78,0.62748,0.67097,0.99318,0.2591,0.27113,0.2641,0.2082,1.39679,3.3342,1.40793,0.00045285,0.00045285,0.00045285
140,1130.87,0.63921,0.63003,0.99881,0.30352,0.32014,0.24845,0.19199,1.45664,3.43809,1.48986,0.000445777,0.000445777,0.000445777
141,1136.89,0.62252,0.64981,0.99854,0.26126,0.25073,0.21593,0.16074,1.45958,3.69298,1.48768,0.000438703,0.000438703,0.000438703
142,1142.96,0.63933,0.66494,0.99166,0.36612,0.24993,0.27878,0.22029,1.41834,3.707,1.42637,0.000431629,0.000431629,0.000431629
143,1148.99,0.6421,0.68794,0.99474,0.32884,0.26688,0.2553,0.16916,1.43551,3.57919,1.44484,0.000424556,0.000424556,0.000424556
144,1154.84,0.60311,0.62188,0.97654,0.3493,0.27253,0.26241,0.17634,1.42757,3.79777,1.44074,0.000417482,0.000417482,0.000417482
145,1160.81,0.62577,0.64382,0.98171,0.38507,0.30993,0.31058,0.23005,1.33838,3.97742,1.3535,0.000410409,0.000410409,0.000410409
146,1166.85,0.64549,0.68349,0.97471,0.49824,0.30885,0.34931,0.24947,1.36598,3.58334,1.35416,0.000403335,0.000403335,0.000403335
147,1172.84,0.66109,0.71223,1.01444,0.48147,0.2806,0.32888,0.24488,1.33653,3.45215,1.37108,0.000396262,0.000396262,0.000396262
148,1178.85,0.66884,0.72733,1.02417,0.42894,0.31907,0.3382,0.25389,1.41775,3.32018,1.425,0.000389188,0.000389188,0.000389188
149,1185.01,0.66276,0.67219,1.00624,0.45688,0.35768,0.32235,0.23109,1.31177,3.50454,1.33029,0.000382115,0.000382115,0.000382115
150,1191.03,0.66472,0.64961,0.99237,0.38805,0.3596,0.30734,0.22245,1.28331,3.45652,1.29605,0.000375041,0.000375041,0.000375041
151,1196.96,0.63864,0.6678,0.98833,0.52594,0.36814,0.34566,0.25184,1.29383,3.46664,1.28347,0.000367967,0.000367967,0.000367967
152,1202.96,0.62374,0.65161,0.95563,0.34815,0.30568,0.31556,0.237,1.27316,3.66142,1.29914,0.000360894,0.000360894,0.000360894
153,1208.92,0.59401,0.67213,0.99169,0.37972,0.28906,0.28798,0.2225,1.31162,3.56542,1.33223,0.00035382,0.00035382,0.00035382
154,1214.79,0.58648,0.62268,0.96123,0.39016,0.38701,0.33264,0.22754,1.37435,3.34636,1.38679,0.000346747,0.000346747,0.000346747
155,1220.78,0.61106,0.61263,0.9737,0.4852,0.29306,0.33247,0.23458,1.3925,3.32339,1.39729,0.000339673,0.000339673,0.000339673
156,1226.67,0.58781,0.58266,0.97747,0.30073,0.29863,0.30261,0.21869,1.39175,3.42256,1.41008,0.0003326,0.0003326,0.0003326
157,1232.53,0.57271,0.55739,0.95223,0.4763,0.24993,0.28595,0.21984,1.42108,3.58483,1.3954,0.000325526,0.000325526,0.000325526
158,1238.43,0.58016,0.58869,0.98138,0.40828,0.29445,0.31031,0.22735,1.40151,3.42005,1.38582,0.000318453,0.000318453,0.000318453
159,1244.41,0.61076,0.61617,0.96797,0.32292,0.34732,0.32691,0.24167,1.37267,3.2803,1.39264,0.000311379,0.000311379,0.000311379
160,1250.41,0.61009,0.63671,0.98068,0.36603,0.27818,0.29747,0.21652,1.38224,3.38697,1.40181,0.000304306,0.000304306,0.000304306
161,1256.52,0.59432,0.59872,0.9754,0.31725,0.27711,0.25735,0.18773,1.37751,3.51092,1.41753,0.000297232,0.000297232,0.000297232
162,1262.5,0.57474,0.56414,0.97868,0.43247,0.31342,0.32407,0.22433,1.38717,3.56274,1.42763,0.000290158,0.000290158,0.000290158
163,1268.47,0.63034,0.5955,0.97963,0.43238,0.37238,0.33875,0.24529,1.43445,3.61964,1.41511,0.000283085,0.000283085,0.000283085
164,1274.36,0.60392,0.59464,0.98679,0.38096,0.31173,0.31442,0.22893,1.39853,3.65362,1.37152,0.000276011,0.000276011,0.000276011
165,1280.21,0.60533,0.62403,0.97729,0.45832,0.32188,0.35366,0.24055,1.38256,3.59591,1.38213,0.000268938,0.000268938,0.000268938
166,1286.16,0.60318,0.6003,1.00222,0.3359,0.27862,0.29028,0.22131,1.39076,3.58304,1.40407,0.000261864,0.000261864,0.000261864
167,1292.07,0.58006,0.59963,0.95942,0.28315,0.34853,0.27277,0.21127,1.3994,3.71399,1.41123,0.000254791,0.000254791,0.000254791
168,1298.04,0.54725,0.57944,0.9492,0.42215,0.28625,0.31955,0.22233,1.42338,3.81969,1.44277,0.000247717,0.000247717,0.000247717
169,1303.97,0.55427,0.5267,0.95876,0.44837,0.28625,0.31897,0.22347,1.40579,3.80846,1.39104,0.000240644,0.000240644,0.000240644
170,1309.98,0.5592,0.61277,0.97538,0.31653,0.34853,0.29805,0.22749,1.42153,3.7321,1.41724,0.00023357,0.00023357,0.00023357
171,1315.98,0.57893,0.60225,0.96684,0.4174,0.36898,0.32885,0.23782,1.39987,3.73348,1.44821,0.000226497,0.000226497,0.000226497
172,1321.97,0.57629,0.57682,0.95853,0.41668,0.36898,0.31341,0.23216,1.4454,3.66308,1.48334,0.000219423,0.000219423,0.000219423
173,1327.89,0.55558,0.53041,0.95648,0.36804,0.3145,0.31738,0.23764,1.46441,3.63189,1.48394,0.000212349,0.000212349,0.000212349
174,1333.91,0.53323,0.53915,0.94966,0.38365,0.39114,0.32446,0.24121,1.47493,3.48463,1.46369,0.000205276,0.000205276,0.000205276
175,1339.87,0.56312,0.53232,0.97325,0.34768,0.32809,0.31002,0.21577,1.46122,3.53641,1.4819,0.000198202,0.000198202,0.000198202
176,1346.34,0.53895,0.55058,0.94222,0.45177,0.25689,0.30316,0.21327,1.44975,3.50949,1.4979,0.000191129,0.000191129,0.000191129
177,1352.59,0.55334,0.56732,0.96853,0.45589,0.25533,0.28559,0.20044,1.45589,3.62665,1.46598,0.000184055,0.000184055,0.000184055
178,1358.77,0.54904,0.51836,0.97732,0.50092,0.24536,0.26689,0.19094,1.43598,3.92622,1.40607,0.000176982,0.000176982,0.000176982
179,1365.05,0.55188,0.52588,0.96119,0.50237,0.24536,0.26503,0.19014,1.41055,3.92866,1.39882,0.000169908,0.000169908,0.000169908
180,1371.27,0.54286,0.51566,0.94567,0.44427,0.26101,0.28191,0.19414,1.39168,3.86115,1.39354,0.000162835,0.000162835,0.000162835
181,1377.58,0.56511,0.58297,0.9747,0.43727,0.2604,0.27428,0.19304,1.39043,3.79914,1.42122,0.000155761,0.000155761,0.000155761
182,1383.92,0.54436,0.53635,0.94926,0.34326,0.24536,0.27686,0.19325,1.40982,3.73148,1.434,0.000148687,0.000148687,0.000148687
183,1390.39,0.5122,0.5041,0.9451,0.39508,0.26678,0.28706,0.19962,1.40018,3.73822,1.45105,0.000141614,0.000141614,0.000141614
184,1396.38,0.52453,0.50918,0.94975,0.43977,0.28275,0.28616,0.19849,1.41109,3.8123,1.43833,0.00013454,0.00013454,0.00013454
185,1402.46,0.49644,0.51501,0.92689,0.415,0.27146,0.29956,0.20814,1.3907,3.76282,1.40543,0.000127467,0.000127467,0.000127467
